
=== CANONICAL COLLECTION ===
----------------------------------- State 0 -----------------------------------
[ Goal            -> *Program                                     , End ]
[ AccessBase -> *( Expr )            , <= ]
[ AccessBase -> *Identifier          , > ]
[ AccessBase -> *( Expr )            , > ]
[ AccessBase -> *Identifier          , < ]
[ AccessBase -> *( Expr )            , < ]
[ AccessBase -> *Identifier          , + ]
[ AccessBase -> *( Expr )            , + ]
[ AccessBase -> *Identifier          , - ]
[ AccessBase -> *( Expr )            , - ]
[ AccessBase -> *Identifier          , * ]
[ AccessBase -> *( Expr )            , * ]
[ AccessBase -> *Identifier          , / ]
[ AccessBase -> *( Expr )            , / ]
[ AccessBase -> *Identifier          , [ ]
[ AccessBase -> *( Expr )            , [ ]
[ AccessBase -> *Identifier          , ( ]
[ AccessBase -> *( Expr )            , ( ]
[ AccessBase -> *Identifier          , . ]
[ AccessBase -> *( Expr )            , . ]
[ Identifier -> *name                , ) ]
[ Identifier -> *name                , , ]
[ Identifier -> *name                , || ]
[ Identifier -> *name                , && ]
[ Identifier -> *name                , =? ]
[ Identifier -> *name                , >= ]
[ Identifier -> *name                , <= ]
[ Identifier -> *name                , > ]
[ Identifier -> *name                , < ]
[ Identifier -> *name                , + ]
[ Identifier -> *name                , - ]
[ Identifier -> *name                , * ]
[ Identifier -> *name                , / ]
[ Identifier -> *name                , [ ]
[ Identifier -> *name                , ( ]
[ Identifier -> *name                , . ]
-------------------------------------------

---------------- State 103 ----------------
[ Access     -> Access [ *Expr ]     , ; ]
[ Access     -> Access [ *Expr ]     , || ]
[ Access     -> Access [ *Expr ]     , && ]
[ Access     -> Access [ *Expr ]     , =? ]
[ Access     -> Access [ *Expr ]     , >= ]
[ Access     -> Access [ *Expr ]     , <= ]
[ Access     -> Access [ *Expr ]     , > ]
[ Access     -> Access [ *Expr ]     , < ]
[ Access     -> Access [ *Expr ]     , + ]
[ Access     -> Access [ *Expr ]     , - ]
[ Access     -> Access [ *Expr ]     , * ]
[ Access     -> Access [ *Expr ]     , / ]
[ Access     -> Access [ *Expr ]     , [ ]
[ Access     -> Access [ *Expr ]     , ( ]
[ Access     -> Access [ *Expr ]     , . ]
[ Expr       -> *Expr || LogAnd      , ] ]
[ Expr       -> *LogAnd              , ] ]
[ Expr       -> *Expr || LogAnd      , || ]
[ Expr       -> *LogAnd              , || ]
[ LogAnd     -> *LogAnd && Relation  , ] ]
[ LogAnd     -> *Relation            , ] ]
[ LogAnd     -> *LogAnd && Relation  , || ]
[ LogAnd     -> *Relation            , || ]
[ LogAnd     -> *LogAnd && Relation  , && ]
[ LogAnd     -> *Relation            , && ]
[ Relation   -> *Relation RelOp Eval , ] ]
[ Relation   -> *Eval                , ] ]
[ Relation   -> *Relation RelOp Eval , || ]
[ Relation   -> *Eval                , || ]
[ Relation   -> *Relation RelOp Eval , && ]
[ Relation   -> *Eval                , && ]
[ Relation   -> *Relation RelOp Eval , =? ]
[ Relation   -> *Relation RelOp Eval , >= ]
[ Relation   -> *Relation RelOp Eval , <= ]
[ Relation   -> *Relation RelOp Eval , > ]
[ Relation   -> *Relation RelOp Eval , < ]
[ Relation   -> *Eval                , =? ]
[ Relation   -> *Eval                , >= ]
[ Relation   -> *Eval                , <= ]
[ Relation   -> *Eval                , > ]
[ Relation   -> *Eval                , < ]
[ Eval       -> *Eval + Term         , ] ]
[ Eval       -> *Eval - Term         , ] ]
[ Eval       -> *Term                , ] ]
[ Eval       -> *Eval + Term         , || ]
[ Eval       -> *Eval - Term         , || ]
[ Eval       -> *Term                , || ]
[ Eval       -> *Eval + Term         , && ]
[ Eval       -> *Eval - Term         , && ]
[ Eval       -> *Term                , && ]
[ Eval       -> *Eval + Term         , =? ]
[ Eval       -> *Eval - Term         , =? ]
[ Eval       -> *Term                , =? ]
[ Eval       -> *Eval + Term         , >= ]
[ Eval       -> *Eval - Term         , >= ]
[ Eval       -> *Term                , >= ]
[ Eval       -> *Eval + Term         , <= ]
[ Eval       -> *Eval - Term         , <= ]
[ Eval       -> *Term                , <= ]
[ Eval       -> *Eval + Term         , > ]
[ Eval       -> *Eval - Term         , > ]
[ Eval       -> *Term                , > ]
[ Eval       -> *Eval + Term         , < ]
[ Eval       -> *Eval - Term         , < ]
[ Eval       -> *Term                , < ]
[ Eval       -> *Eval + Term         , + ]
[ Eval       -> *Eval - Term         , + ]
[ Eval       -> *Term                , + ]
[ Eval       -> *Eval + Term         , - ]
[ Eval       -> *Eval - Term         , - ]
[ Eval       -> *Term                , - ]
[ Term       -> *Term * Negative     , ] ]
[ Term       -> *Term / Negative     , ] ]
[ Term       -> *Negative            , ] ]
[ Term       -> *Term * Negative     , || ]
[ Term       -> *Term / Negative     , || ]
[ Term       -> *Negative            , || ]
[ Term       -> *Term * Negative     , && ]
[ Term       -> *Term / Negative     , && ]
[ Term       -> *Negative            , && ]
[ Term       -> *Term * Negative     , =? ]
[ Term       -> *Term / Negative     , =? ]
[ Term       -> *Negative            , =? ]
[ Term       -> *Term * Negative     , >= ]
[ Term       -> *Term / Negative     , >= ]
[ Term       -> *Negative            , >= ]
[ Term       -> *Term * Negative     , <= ]
[ Term       -> *Term / Negative     , <= ]
[ Term       -> *Negative            , <= ]
[ Term       -> *Term * Negative     , > ]
[ Term       -> *Term / Negative     , > ]
[ Term       -> *Negative            , > ]
[ Term       -> *Term * Negative     , < ]
[ Term       -> *Term / Negative     , < ]
[ Term       -> *Negative            , < ]
[ Term       -> *Term * Negative     , + ]
[ Term       -> *Term / Negative     , + ]
[ Term       -> *Negative            , + ]
[ Term       -> *Term * Negative     , - ]
[ Term       -> *Term / Negative     , - ]
[ Term       -> *Negative            , - ]
[ Term       -> *Term * Negative     , * ]
[ Term       -> *Term / Negative     , * ]
[ Term       -> *Negative            , * ]
[ Term       -> *Term * Negative     , / ]
[ Term       -> *Term / Negative     , / ]
[ Term       -> *Negative            , / ]
[ Negative   -> *- Factor            , ] ]
[ Negative   -> *Factor              , ] ]
[ Negative   -> *- Factor            , || ]
[ Negative   -> *Factor              , || ]
[ Negative   -> *- Factor            , && ]
[ Negative   -> *Factor              , && ]
[ Negative   -> *- Factor            , =? ]
[ Negative   -> *Factor              , =? ]
[ Negative   -> *- Factor            , >= ]
[ Negative   -> *Factor              , >= ]
[ Negative   -> *- Factor            , <= ]
[ Negative   -> *Factor              , <= ]
[ Negative   -> *- Factor            , > ]
[ Negative   -> *Factor              , > ]
[ Negative   -> *- Factor            , < ]
[ Negative   -> *Factor              , < ]
[ Negative   -> *- Factor            , + ]
[ Negative   -> *Factor              , + ]
[ Negative   -> *- Factor            , - ]
[ Negative   -> *Factor              , - ]
[ Negative   -> *- Factor            , * ]
[ Negative   -> *Factor              , * ]
[ Negative   -> *- Factor            , / ]
[ Negative   -> *Factor              , / ]
[ Factor     -> *Access              , ] ]
[ Factor     -> *integer             , ] ]
[ Factor     -> *floating            , ] ]
[ Factor     -> *litstring           , ] ]
[ Factor     -> *true                , ] ]
[ Factor     -> *false               , ] ]
[ Factor     -> *Access              , || ]
[ Factor     -> *integer             , || ]
[ Factor     -> *floating            , || ]
[ Factor     -> *litstring           , || ]
[ Factor     -> *true                , || ]
[ Factor     -> *false               , || ]
[ Factor     -> *Access              , && ]
[ Factor     -> *integer             , && ]
[ Factor     -> *floating            , && ]
[ Factor     -> *litstring           , && ]
[ Factor     -> *true                , && ]
[ Factor     -> *false               , && ]
[ Factor     -> *Access              , =? ]
[ Factor     -> *integer             , =? ]
[ Factor     -> *floating            , =? ]
[ Factor     -> *litstring           , =? ]
[ Factor     -> *true                , =? ]
[ Factor     -> *false               , =? ]
[ Factor     -> *Access              , >= ]
[ Factor     -> *integer             , >= ]
[ Factor     -> *floating            , >= ]
[ Factor     -> *litstring           , >= ]
[ Factor     -> *true                , >= ]
[ Factor     -> *false               , >= ]
[ Factor     -> *Access              , <= ]
[ Factor     -> *integer             , <= ]
[ Factor     -> *floating            , <= ]
[ Factor     -> *litstring           , <= ]
[ Factor     -> *true                , <= ]
[ Factor     -> *false               , <= ]
[ Factor     -> *Access              , > ]
[ Factor     -> *integer             , > ]
[ Factor     -> *floating            , > ]
[ Factor     -> *litstring           , > ]
[ Factor     -> *true                , > ]
[ Factor     -> *false               , > ]
[ Factor     -> *Access              , < ]
[ Factor     -> *integer             , < ]
[ Factor     -> *floating            , < ]
[ Factor     -> *litstring           , < ]
[ Factor     -> *true                , < ]
[ Factor     -> *false               , < ]
[ Factor     -> *Access              , + ]
[ Factor     -> *integer             , + ]
[ Factor     -> *floating            , + ]
[ Factor     -> *litstring           , + ]
[ Factor     -> *true                , + ]
[ Factor     -> *false               , + ]
[ Factor     -> *Access              , - ]
[ Factor     -> *integer             , - ]
[ Factor     -> *floating            , - ]
[ Factor     -> *litstring           , - ]
[ Factor     -> *true                , - ]
[ Factor     -> *false               , - ]
[ Factor     -> *Access              , * ]
[ Factor     -> *integer             , * ]
[ Factor     -> *floating            , * ]
[ Factor     -> *litstring           , * ]
[ Factor     -> *true                , * ]
[ Factor     -> *false               , * ]
[ Factor     -> *Access              , / ]
[ Factor     -> *integer             , / ]
[ Factor     -> *floating            , / ]
[ Factor     -> *litstring           , / ]
[ Factor     -> *true                , / ]
[ Factor     -> *false               , / ]
[ Access     -> *Access [ Expr ]     , ] ]
[ Access     -> *Access ( Args )     , ] ]
[ Access     -> *Access . Identifier , ] ]
[ Access     -> *AccessBase          , ] ]
[ Access     -> *Access [ Expr ]     , || ]
[ Access     -> *Access ( Args )     , || ]
[ Access     -> *Access . Identifier , || ]
[ Access     -> *AccessBase          , || ]
[ Access     -> *Access [ Expr ]     , && ]
[ Access     -> *Access ( Args )     , && ]
[ Access     -> *Access . Identifier , && ]
[ Access     -> *AccessBase          , && ]
[ Access     -> *Access [ Expr ]     , =? ]
[ Access     -> *Access ( Args )     , =? ]
[ Access     -> *Access . Identifier , =? ]
[ Access     -> *AccessBase          , =? ]
[ Access     -> *Access [ Expr ]     , >= ]
[ Access     -> *Access ( Args )     , >= ]
[ Access     -> *Access . Identifier , >= ]
[ Access     -> *AccessBase          , >= ]
[ Access     -> *Access [ Expr ]     , <= ]
[ Access     -> *Access ( Args )     , <= ]
[ Access     -> *Access . Identifier , <= ]
[ Access     -> *AccessBase          , <= ]
[ Access     -> *Access [ Expr ]     , > ]
[ Access     -> *Access ( Args )     , > ]
[ Access     -> *Access . Identifier , > ]
[ Access     -> *AccessBase          , > ]
[ Access     -> *Access [ Expr ]     , < ]
[ Access     -> *Access ( Args )     , < ]
[ Access     -> *Access . Identifier , < ]
[ Access     -> *AccessBase          , < ]
[ Access     -> *Access [ Expr ]     , + ]
[ Access     -> *Access ( Args )     , + ]
[ Access     -> *Access . Identifier , + ]
[ Access     -> *AccessBase          , + ]
[ Access     -> *Access [ Expr ]     , - ]
[ Access     -> *Access ( Args )     , - ]
[ Access     -> *Access . Identifier , - ]
[ Access     -> *AccessBase          , - ]
[ Access     -> *Access [ Expr ]     , * ]
[ Access     -> *Access ( Args )     , * ]
[ Access     -> *Access . Identifier , * ]
[ Access     -> *AccessBase          , * ]
[ Access     -> *Access [ Expr ]     , / ]
[ Access     -> *Access ( Args )     , / ]
[ Access     -> *Access . Identifier , / ]
[ Access     -> *AccessBase          , / ]
[ Access     -> *Access [ Expr ]     , [ ]
[ Access     -> *Access ( Args )     , [ ]
[ Access     -> *Access . Identifier , [ ]
[ Access     -> *AccessBase          , [ ]
[ Access     -> *Access [ Expr ]     , ( ]
[ Access     -> *Access ( Args )     , ( ]
[ Access     -> *Access . Identifier , ( ]
[ Access     -> *AccessBase          , ( ]
[ Access     -> *Access [ Expr ]     , . ]
[ Access     -> *Access ( Args )     , . ]
[ Access     -> *Access . Identifier , . ]
[ Access     -> *AccessBase          , . ]
[ AccessBase -> *Identifier          , ] ]
[ AccessBase -> *( Expr )            , ] ]
[ AccessBase -> *Identifier          , || ]
[ AccessBase -> *( Expr )            , || ]
[ AccessBase -> *Identifier          , && ]
[ AccessBase -> *( Expr )            , && ]
[ AccessBase -> *Identifier          , =? ]
[ AccessBase -> *( Expr )            , =? ]
[ AccessBase -> *Identifier          , >= ]
[ AccessBase -> *( Expr )            , >= ]
[ AccessBase -> *Identifier          , <= ]
[ AccessBase -> *( Expr )            , <= ]
[ AccessBase -> *Identifier          , > ]
[ AccessBase -> *( Expr )            , > ]
[ AccessBase -> *Identifier          , < ]
[ AccessBase -> *( Expr )            , < ]
[ AccessBase -> *Identifier          , + ]
[ AccessBase -> *( Expr )            , + ]
[ AccessBase -> *Identifier          , - ]
[ AccessBase -> *( Expr )            , - ]
[ AccessBase -> *Identifier          , * ]
[ AccessBase -> *( Expr )            , * ]
[ AccessBase -> *Identifier          , / ]
[ AccessBase -> *( Expr )            , / ]
[ AccessBase -> *Identifier          , [ ]
[ AccessBase -> *( Expr )            , [ ]
[ AccessBase -> *Identifier          , ( ]
[ AccessBase -> *( Expr )            , ( ]
[ AccessBase -> *Identifier          , . ]
[ AccessBase -> *( Expr )            , . ]
[ Identifier -> *name                , ] ]
[ Identifier -> *name                , || ]
[ Identifier -> *name                , && ]
[ Identifier -> *name                , =? ]
[ Identifier -> *name                , >= ]
[ Identifier -> *name                , <= ]
[ Identifier -> *name                , > ]
[ Identifier -> *name                , < ]
[ Identifier -> *name                , + ]
[ Identifier -> *name                , - ]
[ Identifier -> *name                , * ]
[ Identifier -> *name                , / ]
[ Identifier -> *name                , [ ]
[ Identifier -> *name                , ( ]
[ Identifier -> *name                , . ]
-------------------------------------------

---------------- State 104 ----------------
[ Access     -> Access . *Identifier , ; ]
[ Access     -> Access . *Identifier , || ]
[ Access     -> Access . *Identifier , && ]
[ Access     -> Access . *Identifier , =? ]
[ Access     -> Access . *Identifier , >= ]
[ Access     -> Access . *Identifier , <= ]
[ Access     -> Access . *Identifier , > ]
[ Access     -> Access . *Identifier , < ]
[ Access     -> Access . *Identifier , + ]
[ Access     -> Access . *Identifier , - ]
[ Access     -> Access . *Identifier , * ]
[ Access     -> Access . *Identifier , / ]
[ Access     -> Access . *Identifier , [ ]
[ Access     -> Access . *Identifier , ( ]
[ Access     -> Access . *Identifier , . ]
[ Identifier -> *name                , ; ]
[ Identifier -> *name                , || ]
[ Identifier -> *name                , && ]
[ Identifier -> *name                , =? ]
[ Identifier -> *name                , >= ]
[ Identifier -> *name                , <= ]
[ Identifier -> *name                , > ]
[ Identifier -> *name                , < ]
[ Identifier -> *name                , + ]
[ Identifier -> *name                , - ]
[ Identifier -> *name                , * ]
[ Identifier -> *name                , / ]
[ Identifier -> *name                , [ ]
[ Identifier -> *name                , ( ]
[ Identifier -> *name                , . ]
-------------------------------------------

---------- State 105 -----------
[ AccessBase -> ( Expr ) *, = ]
[ AccessBase -> ( Expr ) *, [ ]
[ AccessBase -> ( Expr ) *, ( ]
[ AccessBase -> ( Expr ) *, . ]
[ AccessBase -> ( Expr ) *, ; ]
[ AccessBase -> ( Expr ) *, || ]
[ AccessBase -> ( Expr ) *, && ]
[ AccessBase -> ( Expr ) *, =? ]
[ AccessBase -> ( Expr ) *, >= ]
[ AccessBase -> ( Expr ) *, <= ]
[ AccessBase -> ( Expr ) *, > ]
[ AccessBase -> ( Expr ) *, < ]
[ AccessBase -> ( Expr ) *, + ]
[ AccessBase -> ( Expr ) *, - ]
[ AccessBase -> ( Expr ) *, * ]
[ AccessBase -> ( Expr ) *, / ]
--------------------------------

---------------- State 106 ----------------
[ Expr       -> Expr || *LogAnd      , ) ]
[ Expr       -> Expr || *LogAnd      , || ]
[ LogAnd     -> *LogAnd && Relation  , ) ]
[ LogAnd     -> *Relation            , ) ]
[ LogAnd     -> *LogAnd && Relation  , || ]
[ LogAnd     -> *Relation            , || ]
[ LogAnd     -> *LogAnd && Relation  , && ]
[ LogAnd     -> *Relation            , && ]
[ Relation   -> *Relation RelOp Eval , ) ]
[ Relation   -> *Eval                , ) ]
[ Relation   -> *Relation RelOp Eval , || ]
[ Relation   -> *Eval                , || ]
[ Relation   -> *Relation RelOp Eval , && ]
[ Relation   -> *Eval                , && ]
[ Relation   -> *Relation RelOp Eval , =? ]
[ Relation   -> *Relation RelOp Eval , >= ]
[ Relation   -> *Relation RelOp Eval , <= ]
[ Relation   -> *Relation RelOp Eval , > ]
[ Relation   -> *Relation RelOp Eval , < ]
[ Relation   -> *Eval                , =? ]
[ Relation   -> *Eval                , >= ]
[ Relation   -> *Eval                , <= ]
[ Relation   -> *Eval                , > ]
[ Relation   -> *Eval                , < ]
[ Eval       -> *Eval + Term         , ) ]
[ Eval       -> *Eval - Term         , ) ]
[ Eval       -> *Term                , ) ]
[ Eval       -> *Eval + Term         , || ]
[ Eval       -> *Eval - Term         , || ]
[ Eval       -> *Term                , || ]
[ Eval       -> *Eval + Term         , && ]
[ Eval       -> *Eval - Term         , && ]
[ Eval       -> *Term                , && ]
[ Eval       -> *Eval + Term         , =? ]
[ Eval       -> *Eval - Term         , =? ]
[ Eval       -> *Term                , =? ]
[ Eval       -> *Eval + Term         , >= ]
[ Eval       -> *Eval - Term         , >= ]
[ Eval       -> *Term                , >= ]
[ Eval       -> *Eval + Term         , <= ]
[ Eval       -> *Eval - Term         , <= ]
[ Eval       -> *Term                , <= ]
[ Eval       -> *Eval + Term         , > ]
[ Eval       -> *Eval - Term         , > ]
[ Eval       -> *Term                , > ]
[ Eval       -> *Eval + Term         , < ]
[ Eval       -> *Eval - Term         , < ]
[ Eval       -> *Term                , < ]
[ Eval       -> *Eval + Term         , + ]
[ Eval       -> *Eval - Term         , + ]
[ Eval       -> *Term                , + ]
[ Eval       -> *Eval + Term         , - ]
[ Eval       -> *Eval - Term         , - ]
[ Eval       -> *Term                , - ]
[ Term       -> *Term * Negative     , ) ]
[ Term       -> *Term / Negative     , ) ]
[ Term       -> *Negative            , ) ]
[ Term       -> *Term * Negative     , || ]
[ Term       -> *Term / Negative     , || ]
[ Term       -> *Negative            , || ]
[ Term       -> *Term * Negative     , && ]
[ Term       -> *Term / Negative     , && ]
[ Term       -> *Negative            , && ]
[ Term       -> *Term * Negative     , =? ]
[ Term       -> *Term / Negative     , =? ]
[ Term       -> *Negative            , =? ]
[ Term       -> *Term * Negative     , >= ]
[ Term       -> *Term / Negative     , >= ]
[ Term       -> *Negative            , >= ]
[ Term       -> *Term * Negative     , <= ]
[ Term       -> *Term / Negative     , <= ]
[ Term       -> *Negative            , <= ]
[ Term       -> *Term * Negative     , > ]
[ Term       -> *Term / Negative     , > ]
[ Term       -> *Negative            , > ]
[ Term       -> *Term * Negative     , < ]
[ Term       -> *Term / Negative     , < ]
[ Term       -> *Negative            , < ]
[ Term       -> *Term * Negative     , + ]
[ Term       -> *Term / Negative     , + ]
[ Term       -> *Negative            , + ]
[ Term       -> *Term * Negative     , - ]
[ Term       -> *Term / Negative     , - ]
[ Term       -> *Negative            , - ]
[ Term       -> *Term * Negative     , * ]
[ Term       -> *Term / Negative     , * ]
[ Term       -> *Negative            , * ]
[ Term       -> *Term * Negative     , / ]
[ Term       -> *Term / Negative     , / ]
[ Term       -> *Negative            , / ]
[ Negative   -> *- Factor            , ) ]
[ Negative   -> *Factor              , ) ]
[ Negative   -> *- Factor            , || ]
[ Negative   -> *Factor              , || ]
[ Negative   -> *- Factor            , && ]
[ Negative   -> *Factor              , && ]
[ Negative   -> *- Factor            , =? ]
[ Negative   -> *Factor              , =? ]
[ Negative   -> *- Factor            , >= ]
[ Negative   -> *Factor              , >= ]
[ Negative   -> *- Factor            , <= ]
[ Negative   -> *Factor              , <= ]
[ Negative   -> *- Factor            , > ]
[ Negative   -> *Factor              , > ]
[ Negative   -> *- Factor            , < ]
[ Negative   -> *Factor              , < ]
[ Negative   -> *- Factor            , + ]
[ Negative   -> *Factor              , + ]
[ Negative   -> *- Factor            , - ]
[ Negative   -> *Factor              , - ]
[ Negative   -> *- Factor            , * ]
[ Negative   -> *Factor              , * ]
[ Negative   -> *- Factor            , / ]
[ Negative   -> *Factor              , / ]
[ Factor     -> *Access              , ) ]
[ Factor     -> *integer             , ) ]
[ Factor     -> *floating            , ) ]
[ Factor     -> *litstring           , ) ]
[ Factor     -> *true                , ) ]
[ Factor     -> *false               , ) ]
[ Factor     -> *Access              , || ]
[ Factor     -> *integer             , || ]
[ Factor     -> *floating            , || ]
[ Factor     -> *litstring           , || ]
[ Factor     -> *true                , || ]
[ Factor     -> *false               , || ]
[ Factor     -> *Access              , && ]
[ Factor     -> *integer             , && ]
[ Factor     -> *floating            , && ]
[ Factor     -> *litstring           , && ]
[ Factor     -> *true                , && ]
[ Factor     -> *false               , && ]
[ Factor     -> *Access              , =? ]
[ Factor     -> *integer             , =? ]
[ Factor     -> *floating            , =? ]
[ Factor     -> *litstring           , =? ]
[ Factor     -> *true                , =? ]
[ Factor     -> *false               , =? ]
[ Factor     -> *Access              , >= ]
[ Factor     -> *integer             , >= ]
[ Factor     -> *floating            , >= ]
[ Factor     -> *litstring           , >= ]
[ Factor     -> *true                , >= ]
[ Factor     -> *false               , >= ]
[ Factor     -> *Access              , <= ]
[ Factor     -> *integer             , <= ]
[ Factor     -> *floating            , <= ]
[ Factor     -> *litstring           , <= ]
[ Factor     -> *true                , <= ]
[ Factor     -> *false               , <= ]
[ Factor     -> *Access              , > ]
[ Factor     -> *integer             , > ]
[ Factor     -> *floating            , > ]
[ Factor     -> *litstring           , > ]
[ Factor     -> *true                , > ]
[ Factor     -> *false               , > ]
[ Factor     -> *Access              , < ]
[ Factor     -> *integer             , < ]
[ Factor     -> *floating            , < ]
[ Factor     -> *litstring           , < ]
[ Factor     -> *true                , < ]
[ Factor     -> *false               , < ]
[ Factor     -> *Access              , + ]
[ Factor     -> *integer             , + ]
[ Factor     -> *floating            , + ]
[ Factor     -> *litstring           , + ]
[ Factor     -> *true                , + ]
[ Factor     -> *false               , + ]
[ Factor     -> *Access              , - ]
[ Factor     -> *integer             , - ]
[ Factor     -> *floating            , - ]
[ Factor     -> *litstring           , - ]
[ Factor     -> *true                , - ]
[ Factor     -> *false               , - ]
[ Factor     -> *Access              , * ]
[ Factor     -> *integer             , * ]
[ Factor     -> *floating            , * ]
[ Factor     -> *litstring           , * ]
[ Factor     -> *true                , * ]
[ Factor     -> *false               , * ]
[ Factor     -> *Access              , / ]
[ Factor     -> *integer             , / ]
[ Factor     -> *floating            , / ]
[ Factor     -> *litstring           , / ]
[ Factor     -> *true                , / ]
[ Factor     -> *false               , / ]
[ Access     -> *Access [ Expr ]     , ) ]
[ Access     -> *Access ( Args )     , ) ]
[ Access     -> *Access . Identifier , ) ]
[ Access     -> *AccessBase          , ) ]
[ Access     -> *Access [ Expr ]     , || ]
[ Access     -> *Access ( Args )     , || ]
[ Access     -> *Access . Identifier , || ]
[ Access     -> *AccessBase          , || ]
[ Access     -> *Access [ Expr ]     , && ]
[ Access     -> *Access ( Args )     , && ]
[ Access     -> *Access . Identifier , && ]
[ Access     -> *AccessBase          , && ]
[ Access     -> *Access [ Expr ]     , =? ]
[ Access     -> *Access ( Args )     , =? ]
[ Access     -> *Access . Identifier , =? ]
[ Access     -> *AccessBase          , =? ]
[ Access     -> *Access [ Expr ]     , >= ]
[ Access     -> *Access ( Args )     , >= ]
[ Access     -> *Access . Identifier , >= ]
[ Access     -> *AccessBase          , >= ]
[ Access     -> *Access [ Expr ]     , <= ]
[ Access     -> *Access ( Args )     , <= ]
[ Access     -> *Access . Identifier , <= ]
[ Access     -> *AccessBase          , <= ]
[ Access     -> *Access [ Expr ]     , > ]
[ Access     -> *Access ( Args )     , > ]
[ Access     -> *Access . Identifier , > ]
[ Access     -> *AccessBase          , > ]
[ Access     -> *Access [ Expr ]     , < ]
[ Access     -> *Access ( Args )     , < ]
[ Access     -> *Access . Identifier , < ]
[ Access     -> *AccessBase          , < ]
[ Access     -> *Access [ Expr ]     , + ]
[ Access     -> *Access ( Args )     , + ]
[ Access     -> *Access . Identifier , + ]
[ Access     -> *AccessBase          , + ]
[ Access     -> *Access [ Expr ]     , - ]
[ Access     -> *Access ( Args )     , - ]
[ Access     -> *Access . Identifier , - ]
[ Access     -> *AccessBase          , - ]
[ Access     -> *Access [ Expr ]     , * ]
[ Access     -> *Access ( Args )     , * ]
[ Access     -> *Access . Identifier , * ]
[ Access     -> *AccessBase          , * ]
[ Access     -> *Access [ Expr ]     , / ]
[ Access     -> *Access ( Args )     , / ]
[ Access     -> *Access . Identifier , / ]
[ Access     -> *AccessBase          , / ]
[ Access     -> *Access [ Expr ]     , [ ]
[ Access     -> *Access ( Args )     , [ ]
[ Access     -> *Access . Identifier , [ ]
[ Access     -> *AccessBase          , [ ]
[ Access     -> *Access [ Expr ]     , ( ]
[ Access     -> *Access ( Args )     , ( ]
[ Access     -> *Access . Identifier , ( ]
[ Access     -> *AccessBase          , ( ]
[ Access     -> *Access [ Expr ]     , . ]
[ Access     -> *Access ( Args )     , . ]
[ Access     -> *Access . Identifier , . ]
[ Access     -> *AccessBase          , . ]
[ AccessBase -> *Identifier          , ) ]
[ AccessBase -> *( Expr )            , ) ]
[ AccessBase -> *Identifier          , || ]
[ AccessBase -> *( Expr )            , || ]
[ AccessBase -> *Identifier          , && ]
[ AccessBase -> *( Expr )            , && ]
[ AccessBase -> *Identifier          , =? ]
[ AccessBase -> *( Expr )            , =? ]
[ AccessBase -> *Identifier          , >= ]
[ AccessBase -> *( Expr )            , >= ]
[ AccessBase -> *Identifier          , <= ]
[ AccessBase -> *( Expr )            , <= ]
[ AccessBase -> *Identifier          , > ]
[ AccessBase -> *( Expr )            , > ]
[ AccessBase -> *Identifier          , < ]
[ AccessBase -> *( Expr )            , < ]
[ AccessBase -> *Identifier          , + ]
[ AccessBase -> *( Expr )            , + ]
[ AccessBase -> *Identifier          , - ]
[ AccessBase -> *( Expr )            , - ]
[ AccessBase -> *Identifier          , * ]
[ AccessBase -> *( Expr )            , * ]
[ AccessBase -> *Identifier          , / ]
[ AccessBase -> *( Expr )            , / ]
[ AccessBase -> *Identifier          , [ ]
[ AccessBase -> *( Expr )            , [ ]
[ AccessBase -> *Identifier          , ( ]
[ AccessBase -> *( Expr )            , ( ]
[ AccessBase -> *Identifier          , . ]
[ AccessBase -> *( Expr )            , . ]
[ Identifier -> *name                , ) ]
[ Identifier -> *name                , || ]
[ Identifier -> *name                , && ]
[ Identifier -> *name                , =? ]
[ Identifier -> *name                , >= ]
[ Identifier -> *name                , <= ]
[ Identifier -> *name                , > ]
[ Identifier -> *name                , < ]
[ Identifier -> *name                , + ]
[ Identifier -> *name                , - ]
[ Identifier -> *name                , * ]
[ Identifier -> *name                , / ]
[ Identifier -> *name                , [ ]
[ Identifier -> *name                , ( ]
[ Identifier -> *name                , . ]
-------------------------------------------

---------------- State 107 ----------------
[ Eval       -> Eval + *Term         , ) ]
[ Eval       -> Eval + *Term         , || ]
[ Eval       -> Eval + *Term         , && ]
[ Eval       -> Eval + *Term         , =? ]
[ Eval       -> Eval + *Term         , >= ]
[ Eval       -> Eval + *Term         , <= ]
[ Eval       -> Eval + *Term         , > ]
[ Eval       -> Eval + *Term         , < ]
[ Eval       -> Eval + *Term         , + ]
[ Eval       -> Eval + *Term         , - ]
[ Term       -> *Term * Negative     , ) ]
[ Term       -> *Term / Negative     , ) ]
[ Term       -> *Negative            , ) ]
[ Term       -> *Term * Negative     , || ]
[ Term       -> *Term / Negative     , || ]
[ Term       -> *Negative            , || ]
[ Term       -> *Term * Negative     , && ]
[ Term       -> *Term / Negative     , && ]
[ Term       -> *Negative            , && ]
[ Term       -> *Term * Negative     , =? ]
[ Term       -> *Term / Negative     , =? ]
[ Term       -> *Negative            , =? ]
[ Term       -> *Term * Negative     , >= ]
[ Term       -> *Term / Negative     , >= ]
[ Term       -> *Negative            , >= ]
[ Term       -> *Term * Negative     , <= ]
[ Term       -> *Term / Negative     , <= ]
