
--- LR(1) PARSER TABLES (Canonical Closure) ---

State | T0   | T0   | T8   | T11  | T13  | T14  | T15  | T27  | T28  | T29  | T35  | T37  | T38  | T39  | T40  | T41  | T54  | T55  | T25  | T7   | T9   | T10  | T16  | T18  | T46  | T49  | T50  | T51  | T52  | T53  | T44  | T20  | T21  | T22  | T23  | T24  | T26  | T12  | T19  | T17  | T45  | T42  | T56  | T47  | T36  | T48  | T43  | NT2  | NT3  | NT4  | NT5  | NT6  | NT30 | NT31 | NT57 | NT59 | NT60 | NT61 | NT62 | NT63 | NT64 | NT65 | NT66 | NT67 | NT68 | NT69 | NT72 | NT76 | NT81 | NT82 | NT83 | NT70 | NT71 | NT32 | NT33 | NT34 | NT73 | NT74 | NT75 | NT58 | NT78 | NT80 | NT79 | NT77 |
101   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s106 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s167 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
102   |      |      | s122 | s123 | s124 | s125 | s126 | s127 | s128 | s129 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r42  |      |      |      |      |      |      |      |      |      |      | 118  | 119  | 120  | 121  | 130  | 131  |      |      |      |      |      |      |      |      |      |      |      |      |      | 134  | 135  | 136  | 137  |      |      |      | 168  | 133  |      |      |      |      |      |      |      |      |
103   |      |      | s142 | s143 | s144 | s145 | s146 | s147 | s148 | s149 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 169  | 139  | 140  | 141  | 150  | 151  |      |      |      |      |      |      |      |      |      |      |      |      |      | 152  | 153  | 154  | 155  |      |      |      |      |      |      |      |      |      |      |      |      |      |
104   |      |      |      |      |      |      | s47  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 170  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
105   |      |      | r76  | r76  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r76  | r76  | r76  | r76  | r76  | r76  | r76  |      |      |      |      |      | r76  | r76  | r76  | r76  | r76  | r76  | r76  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
106   |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 52   | 53   | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   | 66   | 171  | 68   |      |      |      |      |      |      |      |      |      |      |      |      |      |
107   |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 172  | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   |      |      | 68   |      |      |      |      |      |      |      |      |      |      |      |      |      |
108   |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 173  | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   |      |      | 68   |      |      |      |      |      |      |      |      |      |      |      |      |      |
109   |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   |      |      | 174  |      |      |      |      |      |      |      |      |      |      |      |      |      |
110   |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   |      |      | 175  |      |      |      |      |      |      |      |      |      |      |      |      |      |
111   |      |      | r62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r62  | r62  | r62  | r62  |      |      |      |      |      |      |      |      |      | r62  | r62  | r62  | r62  | r62  | r62  | r62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
112   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s106 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s176 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
113   |      |      | s122 | s123 | s124 | s125 | s126 | s127 | s128 | s129 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r42  |      |      |      |      |      |      |      |      |      |      | 118  | 119  | 120  | 121  | 130  | 131  |      |      |      |      |      |      |      |      |      |      |      |      |      | 134  | 135  | 136  | 137  |      |      |      | 177  | 133  |      |      |      |      |      |      |      |      |
114   |      |      | s142 | s143 | s144 | s145 | s146 | s147 | s148 | s149 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 178  | 139  | 140  | 141  | 150  | 151  |      |      |      |      |      |      |      |      |      |      |      |      |      | 152  | 153  | 154  | 155  |      |      |      |      |      |      |      |      |      |      |      |      |      |
115   |      |      |      |      |      |      | s59  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 179  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
116   |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 180  | 53   | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   |      |      | 68   |      |      |      |      |      |      |      |      |      |      |      |      |      |
117   |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 52   | 53   | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   | 181  |      | 68   |      |      |      |      |      |      |      |      |      |      |      |      |      |
118   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s182 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r44  | r44  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
119   |      |      | s184 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r55  | s183 |      |      |      |      |      |      |      |      |      |      |      | r55  | r55  | r55  | r55  | r55  | r55  | r55  | r55  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
120   |      |      | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r58  | r58  | s185 | s186 |      |      |      |      |      |      |      |      |      | r58  | r58  | r58  | r58  | r58  | r58  | r58  | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
121   |      |      | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
122   |      |      |      | s123 | s124 | s125 | s126 | s127 | s128 | s129 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 187  | 130  | 131  |      |      |      |      |      |      |      |      |      |      |      |      |      | 134  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
123   |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 188  | 52   | 53   | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   | 66   | 67   | 68   |      |      |      |      |      |      |      |      |      |      |      |      |      |
124   |      |      | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
125   |      |      | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
126   |      |      | r77  | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r77  | r77  | r77  | r77  | r77  | r77  |      |      |      |      |      |      |      | r77  | r77  | r77  | r77  | r77  | r77  | r77  | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
127   |      |      | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
128   |      |      | r68  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r68  | r68  | r68  | r68  |      |      |      |      |      |      |      |      |      | r68  | r68  | r68  | r68  | r68  | r68  | r68  | r68  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
129   |      |      | r69  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r69  | r69  | r69  | r69  |      |      |      |      |      |      |      |      |      | r69  | r69  | r69  | r69  | r69  | r69  | r69  | r69  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
130   |      |      | r64  | s189 |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | s190 | s191 |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
131   |      |      | r74  | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
132   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s192 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
133   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r41  | s193 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
134   |      |      | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
135   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r53  |      |      |      |      |      |      |      |      |      |      |      |      | s89  | s90  | s91  | s92  | s93  | r53  | r53  | r53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 194  |      |      |      |      |      |      |      |      |      |      |
136   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r51  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s195 | r51  | r51  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
137   |      |      | r61  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
138   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s197 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s196 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
139   |      |      | s199 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r55  | s198 |      |      |      |      |      |      |      |      |      |      |      | r55  | r55  | r55  | r55  | r55  | r55  |      |      | r55  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
140   |      |      | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r58  | r58  | s200 | s201 |      |      |      |      |      |      |      |      |      | r58  | r58  | r58  | r58  | r58  | r58  |      |      | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
141   |      |      | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  | r63  |      |      | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
142   |      |      |      | s143 | s144 | s145 | s146 | s147 | s148 | s149 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 202  | 150  | 151  |      |      |      |      |      |      |      |      |      |      |      |      |      | 152  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
143   |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 203  | 52   | 53   | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   | 66   | 67   | 68   |      |      |      |      |      |      |      |      |      |      |      |      |      |
144   |      |      | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  | r65  |      |      | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
145   |      |      | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  | r66  |      |      | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
146   |      |      | r77  | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r77  | r77  | r77  | r77  | r77  | r77  |      |      |      |      |      |      |      | r77  | r77  | r77  | r77  | r77  | r77  |      |      | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
147   |      |      | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  | r67  | r67  |      |      | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
148   |      |      | r68  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r68  | r68  | r68  | r68  |      |      |      |      |      |      |      |      |      | r68  | r68  | r68  | r68  | r68  | r68  |      |      | r68  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
149   |      |      | r69  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r69  | r69  | r69  | r69  |      |      |      |      |      |      |      |      |      | r69  | r69  | r69  | r69  | r69  | r69  |      |      | r69  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
150   |      |      | r64  | s204 |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | s205 | s206 |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  | r64  |      |      | r64  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
151   |      |      | r74  | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  |      |      | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
152   |      |      | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  |      |      | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
153   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r53  |      |      |      |      |      |      |      |      |      |      |      |      | s89  | s90  | s91  | s92  | s93  | r53  |      |      | r53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 207  |      |      |      |      |      |      |      |      |      |      |
154   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r51  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s208 |      |      | r51  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
155   |      |      | r61  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  | r61  |      |      | r61  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
156   |      |      | r73  | r73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r73  | r73  | r73  | r73  | r73  | r73  | r73  |      |      |      |      |      | r73  | r73  | r73  | r73  | r73  | r73  | r73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
157   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s40  |      |      |      |      |      |      |      |      |      |      |      | r29  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
158   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s106 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s209 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
159   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s106 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s210 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
160   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s211 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
161   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r77  |      |      |      |      |      |      |      |      |      | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
162   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s212 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
163   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r21  |      |      |      |      |      |      |      |      |      | s213 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
164   |      |      |      |      |      |      | s214 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r46  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 218  |      |      |      |      |      |      |      |      | 215  | 216  | 217  |      |      |      |      |      |
165   |      |      | s42  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r54  | s41  |      |      |      |      |      |      |      |      |      |      | r54  | r54  | r54  | r54  | r54  | r54  | r54  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
166   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r52  |      |      |      |      |      |      |      |      |      |      |      | r52  | s89  | s90  | s91  | s92  | s93  | r52  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 94   |      |      |      |      |      |      |      |      |      |      |
167   |      |      | r76  | r76  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r76  | r76  | r76  | r76  | r76  | r76  |      |      |      |      |      |      | r76  | r76  | r76  | r76  | r76  | r76  | r76  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
168   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s219 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
169   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s197 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s220 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
170   |      |      | r73  | r73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r73  | r73  | r73  | r73  | r73  | r73  |      |      |      |      |      |      | r73  | r73  | r73  | r73  | r73  | r73  | r73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
